1=The Fool=light
2=The Magician=light
3=The High Priestess=light
4=The Empress=light
5=The Emperor=light
6=The Hierophant=light
7=The Lovers=light
8=The Chariot=light
9=Strength=light
10=The Hermit=light
11=Wheel of Fortune=light
12=Justice=light
13=The Hanged Man=light
14=Death=light
15=Temperance=light
16=The Devil=light
17=The Tower=light
18=The Star=light
19=The Moon=light
20=The Sun=light
21=Judgment=light
22=The World=light
23=Ace of Cups=light
24=Two of Cups=light
25=Three of Cups=light
26=Four of Cups=light
27=Five of Cups=light
28=Six of Cups=light
29=Seven of Cups=light
30=Eight of Cups=light
31=Nine of Cups=light
32=Ten of Cups=light
33=Page of Cups=light
34=Knight of Cups=light
35=Queen of Cups=light
36=King of Cups=light
37=Ace of Pentacles=light
38=Two of Pentacles=light
39=Three of Pentacles=light
40=Four of Pentacles=light
41=Five of Pentacles=light
42=Six of Pentacles=light
43=Seven of Pentacles=light
44=Eight of Pentacles=light
45=Nine of Pentacles=light
46=Ten of Pentacles=light
47=Page of Pentacles=light
48=Knight of Pentacles=light
49=Queen of Pentacles=light
50=King of Pentacles=light
51=Ace of Swords=light
52=Two of Swords=light
53=Three of Swords=light
54=Four of Swords=light
55=Five of Swords=light
56=Six of Swords=light
57=Seven of Swords=light
58=Eight of Swords=light
59=Nine of Swords=light
60=Ten of Swords=light
61=Page of Swords=light
62=Knight of Swords=light
63=Queen of Swords=light
64=King of Swords=light
65=Ace of Wands=light
66=Two of Wands=light
67=Three of Wands=light
68=Four of Wands=light
69=Five of Wands=light
70=Six of Wands=light
71=Seven of Wands=light
72=Eight of Wands=light
73=Nine of Wands=light
74=Ten of Wands=light
75=Page of Wands=light
76=Knight of Wands=light
77=Queen of Wands=light
78=King of Wands=light
79=The Fool=shadow
80=The Magician=shadow
81=The High Priestess=shadow
82=The Empress=shadow
83=The Emperor=shadow
84=The Hierophant=shadow
85=The Lovers=shadow
86=The Chariot=shadow
87=Strength=shadow
88=The Hermit=shadow
89=Wheel of Fortune=shadow
90=Justice=shadow
91=The Hanged Man=shadow
92=Death=shadow
93=Temperance=shadow
94=The Devil=shadow
95=The Tower=shadow
96=The Star=shadow
97=The Moon=shadow
98=The Sun=shadow
99=Judgement=shadow
100=The World=shadow
101=Ace of Cups=shadow
102=Two of Cups=shadow
103=Three of Cups=shadow
104=Four of Cups=shadow
105=Five of Cups=shadow
106=Six of Cups=shadow
107=Seven of Cups=shadow
108=Eight of Cups=shadow
109=Nine of Cups=shadow
110=Ten of Cups=shadow
111=Page of Cups=shadow
112=Knight of Cups=shadow
113=Queen of Cups=shadow
114=King of Cups=shadow
115=Ace of Pentacles=shadow
116=Two of Pentacles=shadow
117=Three of Pentacles=shadow
118=Four of Pentacles=shadow
119=Five of Pentacles=shadow
120=Six of Pentacles=shadow
121=Seven of Pentacles=shadow
122=Eight of Pentacles=shadow
123=Nine of Pentacles=shadow
124=Ten of Pentacles=shadow
125=Page of Pentacles=shadow
126=Knight of Pentacles=shadow
127=Queen of Pentacles=shadow
128=King of Pentacles=shadow
129=Ace of Swords=shadow
130=Two of Swords=shadow
131=Three of Swords=shadow
132=Four of Swords=shadow
133=Five of Swords=shadow
134=Six of Swords=shadow
135=Seven of Swords=shadow
136=Eight of Swords=shadow
137=Nine of Swords=shadow
138=Ten of Swords=shadow
139=Page of Swords=shadow
140=Knight of Swords=shadow
141=Queen of Swords=shadow
142=King of Swords=shadow
143=Ace of Wands=shadow
144=Two of Wands=shadow
145=Three of Wands=shadow
146=Four of Wands=shadow
147=Five of Wands=shadow
148=Six of Wands=shadow
149=Seven of Wands=shadow
150=Eight of Wands=shadow
151=Nine of Wands=shadow
152=Ten of Wands=shadow
153=Page of Wands=shadow
154=Knight of Wands=shadow
155=Queen of Wands=shadow
156=King of Wands=shadow
